ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Metro Peakhurst,"836 FOREST RD, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,U91,2026-04-14 08:08:12,211.9
Metro Peakhurst,"836 FOREST RD, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,P98,2026-04-14 08:08:12,235.9
Legume Store,"9297 MOUNT LINDESAY RD, LEGUME NSW 2476",LEGUME,2476,Independent,U91,2026-04-14 08:10:21,232.0
Ampol Heatherbrae,"2283 Pacific Highway, 2283 Pacific Highway, HEATHERBRAE NSW 2324",HEATHERBRAE,2324,Ampol,E10,2026-04-14 08:16:41,216.9
Ampol Heatherbrae,"2283 Pacific Highway, 2283 Pacific Highway, HEATHERBRAE NSW 2324",HEATHERBRAE,2324,Ampol,U91,2026-04-14 08:16:41,218.9
Ampol Heatherbrae,"2283 Pacific Highway, 2283 Pacific Highway, HEATHERBRAE NSW 2324",HEATHERBRAE,2324,Ampol,P98,2026-04-14 08:16:41,244.9
South West Fuel - Ariah Park,"42 COOLAMON ST, ARIAH PARK NSW 2665",ARIAH PARK,2665,South West,U91,2026-04-14 08:16:58,228.9
South West Fuel - Barellan,"76 Yapunyah St, Barellan NSW 2665",Barellan,2665,South West,U91,2026-04-14 08:17:04,228.9
South West Fuel - Quandialla,"Second St, Quandialla NSW 2721",Quandialla,2721,South West,U91,2026-04-14 08:17:12,228.9
South West Fuel - Temora Depot,"9 Ironbark St, Temora NSW 2666",Temora,2666,South West,U91,2026-04-14 08:17:28,228.9
South West Fuel - Temora Depot,"9 Ironbark St, Temora NSW 2666",Temora,2666,South West,P95,2026-04-14 08:17:28,237.9
South West Fuel - Temora Depot,"9 Ironbark St, Temora NSW 2666",Temora,2666,South West,P98,2026-04-14 08:17:28,247.9
Ampol Tocumwal,"54 Deniliquin Road, Tocumwal NSW 2714",Tocumwal,2714,Ampol,U91,2026-04-14 08:18:13,226.9
Ampol Tocumwal,"54 Deniliquin Road, Tocumwal NSW 2714",Tocumwal,2714,Ampol,P98,2026-04-14 08:18:13,249.9
Your Local Independent Servo,"2 Kew Road, Laurieton NSW 2443",Laurieton,2443,Liberty,U91,2026-04-14 08:20:58,210.9
Your Local Independent Servo,"2 Kew Road, Laurieton NSW 2443",Laurieton,2443,Liberty,P95,2026-04-14 08:20:58,220.9
Your Local Independent Servo,"2 Kew Road, Laurieton NSW 2443",Laurieton,2443,Liberty,P98,2026-04-14 08:20:58,230.9
EG Ampol Port Macquarie,"1 Bay Street, Port Macquarie NSW 2444",Port Macquarie,2444,EG Ampol,E10,2026-04-14 08:21:12,209.9
EG Ampol Port Macquarie,"1 Bay Street, Port Macquarie NSW 2444",Port Macquarie,2444,EG Ampol,U91,2026-04-14 08:21:12,211.9
EG Ampol Port Macquarie,"1 Bay Street, Port Macquarie NSW 2444",Port Macquarie,2444,EG Ampol,P95,2026-04-14 08:21:12,229.9
EG Ampol Port Macquarie,"1 Bay Street, Port Macquarie NSW 2444",Port Macquarie,2444,EG Ampol,P98,2026-04-14 08:21:12,237.9
Metro Petroleum Epping,"30 BRIDGE ST, EPPING NSW 2121",EPPING,2121,Metro Fuel,P95,2026-04-14 08:24:19,229.9
Metro Petroleum Epping,"30 BRIDGE ST, EPPING NSW 2121",EPPING,2121,Metro Fuel,U91,2026-04-14 08:24:19,214.9
Inland Petroleum Condobolin,"5-7 WIRADJURI WAY, CONDOBOLIN NSW 2877",CONDOBOLIN,2877,Inland Petroleum,P95,2026-04-14 08:24:26,254.9
Gilgai General Store,"9 Marsh Street, GILGAI NSW 2360",GILGAI,2360,Liberty,U91,2026-04-14 08:25:08,250.9
BP Moorebank,"226 NEWBRIDGE RD, MOOREBANK NSW 2170",MOOREBANK,2170,BP,P98,2026-04-14 08:25:37,240.9
BP Woodpark Road,"186 WOODPARK RD, SMITHFIELD NSW 2164",SMITHFIELD,2164,BP,E10,2026-04-14 08:26:36,219.9
BP Woodpark Road,"186 WOODPARK RD, SMITHFIELD NSW 2164",SMITHFIELD,2164,BP,U91,2026-04-14 08:26:36,223.9
BP Woodpark Road,"186 WOODPARK RD, SMITHFIELD NSW 2164",SMITHFIELD,2164,BP,P98,2026-04-14 08:26:36,252.9
BP Lismore,"131 Dawson Street, Lismore NSW 2480",Lismore,2480,BP,P95,2026-04-14 08:28:24,229.9
BP Wardell,"32 Fitzroy St, WARDELL NSW 2477",WARDELL,2477,BP,P98,2026-04-14 08:29:09,249.9
B & E Doherty P/L Independent Wauchope,"57 High Street, Wauchope NSW 2446",Wauchope,2446,Independent,P98,2026-04-14 08:29:34,242.0
PEARL ENERGY TARAGO,"2 BRAIDWOOD RD, TARAGO NSW 2580",TARAGO,2580,Pearl Energy,U91,2026-04-14 08:30:49,219.5
PEARL ENERGY TARAGO,"2 BRAIDWOOD RD, TARAGO NSW 2580",TARAGO,2580,Pearl Energy,P98,2026-04-14 08:30:49,241.5
PEARL ENERGY TARAGO,"2 BRAIDWOOD RD, TARAGO NSW 2580",TARAGO,2580,Pearl Energy,E10,2026-04-14 08:30:49,216.5
Ampol Foodary Port Macquarie,"100 Hastings River Dr, PORT MACQUARIE NSW 2444",PORT MACQUARIE,2444,Ampol Foodary,P95,2026-04-14 08:32:13,227.9
U-Go East Maitland (Un-manned),"Newcastle St & William St, EAST MAITLAND NSW 2323",EAST MAITLAND,2323,U-Go,PDL,2026-04-14 08:32:13,287.9
Mobil East Wagga Wagga,"26 HOUTMAN ST, EAST WAGGA WAGGA NSW 2650",EAST WAGGA WAGGA,2650,Mobil,E10,2026-04-14 08:32:18,213.9
Mobil East Wagga Wagga,"26 HOUTMAN ST, EAST WAGGA WAGGA NSW 2650",EAST WAGGA WAGGA,2650,Mobil,U91,2026-04-14 08:32:18,215.9
Mobil East Wagga Wagga,"26 HOUTMAN ST, EAST WAGGA WAGGA NSW 2650",EAST WAGGA WAGGA,2650,Mobil,P95,2026-04-14 08:32:18,228.9
Mobil East Wagga Wagga,"26 HOUTMAN ST, EAST WAGGA WAGGA NSW 2650",EAST WAGGA WAGGA,2650,Mobil,P98,2026-04-14 08:32:18,237.9
Pearl Energy Sturt Hwy,"106 EDWARD ST, WAGGA WAGGA NSW 2650",WAGGA WAGGA,2650,Pearl Energy,E10,2026-04-14 08:32:25,213.9
Pearl Energy Sturt Hwy,"106 EDWARD ST, WAGGA WAGGA NSW 2650",WAGGA WAGGA,2650,Pearl Energy,U91,2026-04-14 08:32:25,215.9
Pearl Energy Sturt Hwy,"106 EDWARD ST, WAGGA WAGGA NSW 2650",WAGGA WAGGA,2650,Pearl Energy,P98,2026-04-14 08:32:25,237.9
