ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
Medco Windale,"4 Lake Street, Windale NSW 2306",Windale,2306,Independent,E10,2026-08-24 18:18:02,195.5
Medco Windale,"4 Lake Street, Windale NSW 2306",Windale,2306,Independent,U91,2026-08-24 18:18:02,197.5
Medco Windale,"4 Lake Street, Windale NSW 2306",Windale,2306,Independent,P95,2026-08-24 18:18:02,209.5
7-Eleven Singleton,"1 MAITLAND RD, SINGLETON NSW 2330",SINGLETON,2330,7-Eleven,P95,2026-08-24 18:18:13,223.9
BP Batemans Bay,"85-87 PRINCES HWY, BATEMANS BAY NSW 2536",BATEMANS BAY,2536,BP,E10,2026-08-24 18:18:48,204.9
BP Batemans Bay,"85-87 PRINCES HWY, BATEMANS BAY NSW 2536",BATEMANS BAY,2536,BP,P98,2026-08-24 18:18:48,230.9
BP Batemans Bay,"85-87 PRINCES HWY, BATEMANS BAY NSW 2536",BATEMANS BAY,2536,BP,U91,2026-08-24 18:18:48,206.9
BP Batemans Bay,"85-87 PRINCES HWY, BATEMANS BAY NSW 2536",BATEMANS BAY,2536,BP,DL,2026-08-24 18:18:48,249.9
7-Eleven Riverwood,"30 Bonds Road (Corner Romilly Street), Riverwood NSW 2210",Riverwood,2210,7-Eleven,E10,2026-08-24 18:21:16,200.9
7-Eleven Riverwood,"30 Bonds Road (Corner Romilly Street), Riverwood NSW 2210",Riverwood,2210,7-Eleven,U91,2026-08-24 18:21:16,202.9
7-Eleven Riverwood,"30 Bonds Road (Corner Romilly Street), Riverwood NSW 2210",Riverwood,2210,7-Eleven,P95,2026-08-24 18:21:16,219.9
7-Eleven Riverwood,"30 Bonds Road (Corner Romilly Street), Riverwood NSW 2210",Riverwood,2210,7-Eleven,P98,2026-08-24 18:21:16,228.9
7-Eleven Metford,"456, Metford Road, Metford NEW SOUTH WALES 2323",Metford,2323,7-Eleven,PDL,2026-08-24 18:21:16,249.9
Independent Delegate,"77 Bombala Street, Delegate NSW 2633",Delegate,2633,Independent,DL,2026-08-24 18:23:25,260.9
7-Eleven Thornton,"1 Weakleys Dr, THORNTON NSW 2322",THORNTON,2322,7-Eleven,PDL,2026-08-24 18:24:16,251.9
Metro Petroleum (Bankstown South),160 South Terrace Bankstown NSW 2200,Bankstown,2200,Metro Fuel,E10,2026-08-24 18:25:17,189.7
7-Eleven Blacktown East,"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",Blacktown East,2148,7-Eleven,P98,2026-08-24 18:30:31,229.9
7-Eleven Blacktown East,"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",Blacktown East,2148,7-Eleven,U91,2026-08-24 18:30:31,203.9
7-Eleven Singleton,"1 MAITLAND RD, SINGLETON NSW 2330",SINGLETON,2330,7-Eleven,PDL,2026-08-24 18:30:31,250.9
7-Eleven Singleton,"1 MAITLAND RD, SINGLETON NSW 2330",SINGLETON,2330,7-Eleven,E10,2026-08-24 18:30:31,204.9
7-Eleven Singleton,"1 MAITLAND RD, SINGLETON NSW 2330",SINGLETON,2330,7-Eleven,P98,2026-08-24 18:30:31,232.9
7-Eleven Singleton,"1 MAITLAND RD, SINGLETON NSW 2330",SINGLETON,2330,7-Eleven,U91,2026-08-24 18:30:31,206.9
7-Eleven Blacktown East,"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",Blacktown East,2148,7-Eleven,E10,2026-08-24 18:30:31,201.9
Pearl Energy Londonderry,"370-372 CARRINGTON RD, LONDONDERRY NSW 2753",LONDONDERRY,2753,Pearl Energy,PDL,2026-08-24 18:30:56,238.5
BP Bourke,"23-25 Mooculta Street, Bourke NSW 2840",Bourke,2840,BP,DL,2026-08-24 18:31:15,264.9
BP Bourke,"23-25 Mooculta Street, Bourke NSW 2840",Bourke,2840,BP,U91,2026-08-24 18:31:15,234.9
BP Bourke,"23-25 Mooculta Street, Bourke NSW 2840",Bourke,2840,BP,P95,2026-08-24 18:31:15,219.9
7-Eleven East Maitland,"35 Melbourne St, EAST MAITLAND NSW 2323",EAST MAITLAND,2323,7-Eleven,E10,2026-08-24 18:33:13,193.9
7-Eleven East Maitland,"35 Melbourne St, EAST MAITLAND NSW 2323",EAST MAITLAND,2323,7-Eleven,U91,2026-08-24 18:33:13,195.9
7-Eleven East Maitland,"35 Melbourne St, EAST MAITLAND NSW 2323",EAST MAITLAND,2323,7-Eleven,P98,2026-08-24 18:33:13,221.9
7-Eleven East Maitland,"35 Melbourne St, EAST MAITLAND NSW 2323",EAST MAITLAND,2323,7-Eleven,P95,2026-08-24 18:33:13,212.9
Speedway Blacktown,"90 Blacktown Road, Blacktown NSW 2148",Blacktown,2148,Speedway,DL,2026-08-24 18:39:47,249.7
EG Ampol Hoxton Park,"490 Cowpasture Road, Hoxton Park NSW 2171",Hoxton Park,2171,EG Ampol,P98,2026-08-24 18:42:15,232.9
EG Ampol Hoxton Park,"490 Cowpasture Road, Hoxton Park NSW 2171",Hoxton Park,2171,EG Ampol,P95,2026-08-24 18:42:15,222.9
EG Ampol Hoxton Park,"490 Cowpasture Road, Hoxton Park NSW 2171",Hoxton Park,2171,EG Ampol,E10,2026-08-24 18:42:15,203.9
Budget Ramsgate,"112-114 RAMSGATE RD, RAMSGATE NSW 2217",RAMSGATE,2217,Budget,U91,2026-08-24 18:44:28,193.4
Budget Ramsgate,"112-114 RAMSGATE RD, RAMSGATE NSW 2217",RAMSGATE,2217,Budget,E10,2026-08-24 18:44:28,189.7
7-Eleven Mona Vale,"24 Barrenjoey Road (Corner Darley Street East), Mona Vale NSW 2103",Mona Vale,2103,7-Eleven,P98,2026-08-24 18:45:18,229.8
7-Eleven Mona Vale,"24 Barrenjoey Road (Corner Darley Street East), Mona Vale NSW 2103",Mona Vale,2103,7-Eleven,P95,2026-08-24 18:45:18,220.8
7-Eleven Mona Vale,"24 Barrenjoey Road (Corner Darley Street East), Mona Vale NSW 2103",Mona Vale,2103,7-Eleven,U91,2026-08-24 18:45:18,203.8
7-Eleven Mona Vale,"24 Barrenjoey Road (Corner Darley Street East), Mona Vale NSW 2103",Mona Vale,2103,7-Eleven,E10,2026-08-24 18:45:18,201.8
